ratinguser,resort_type,apart_type,ghouse_type,hotels_type,capsule_type,homest_type,camp_type,villas_type,ratingprop,good_label,conve_label,impre_label,superb_label,reviewamount,randomrate,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,cleanaccom,propertyaddress,longitude,latitude,landmarknear,propertyinfo,nameuser,classreviewamount
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Jl.Merdeka No.49,Bandung Sumur Bandung,babakan Ciamis, Merdeka, Bandung, Jawa Barat, Indonesia, 40117",-6.9073859,107.6101802,Taman Hutan Raya Juanda,Urban Merdeka Hotel By UHM,Listy D. A.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,2,2,1,"Jalan Cilaki No. 31, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9056724,107.6277978,Taman Hutan Raya Juanda,Ariandri Residence Hotel Cilaki,Andhika W.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jl. Raya Ciater, Palasari, Ciater, Kabupaten Subang, , Lembang, Ciater, Bandung, Indonesia, 41280",-6.7267606,107.6556074,Taman Hutan Raya Juanda,Lembah Sarimas Resort Hotel Ciater,Joko P.,0 - 1000
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,2,1,3,1,1,5,1,-4,1,"Jalan Ciwidey - Rancabali Km. 8 Ciwidey Bandung, Ciwidey, Bandung, Jawa Barat, Indonesia, 40972",-7.1181185,107.434938,Taman Hutan Raya Juanda,MS Hotel Ciwidey,FONG L. M.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,4,4,1,"Jalan Cilaki No. 31, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9056724,107.6277978,Taman Hutan Raya Juanda,Ariandri Residence Hotel Cilaki,Julius K.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"JL. Ir. H. Djuanda, No. 395, Dago Atas, Bandung, Jawa Barat, Indonesia, 40134",-6.8692365,107.6201911,Taman Hutan Raya Juanda,Wirton Hotel,Theresia A. S.,0 - 1000
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Supratman No.43A, Bandung Wetan , Cibeunying, Bandung, Jawa Barat, Indonesia, 40113",-6.9046339,107.6281446,Taman Hutan Raya Juanda,Hotel Corsica,Shaskia,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,1,3,1,5,4,1,"Jalan Panorama 1 No. 34-36, Lembang, Kayuambon, Lembang, Kabupaten Bandung Barat, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8148527,107.622976,Taman Hutan Raya Juanda,Villa de Rossa,Frana G.,0 - 1000
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Aceh No 71A, Riau Street, Bandung, Jawa Barat, Indonesia, 40105",-6.908499,107.6184802,Taman Hutan Raya Juanda,Amaroossa Bandung,Johannes A. S.,0 - 1000
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jl Diponegoro No 27, Citarum, Bandung Wetan, Cibeunying, Bandung, Jawa Barat, Indonesia, 40114",-6.9006712,107.6174754,Taman Hutan Raya Juanda,Pullman Bandung Grand Central,Annisa R.,0 - 1000
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Aceh No 71A, Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.908499,107.6184802,Taman Hutan Raya Juanda,Amaroossa Bandung,Citra H.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"Jalan Krisan No.1,RT 03 RW 010, Kavling Stroberi, Terusan Sersan Bajuri, Cihideung, Parongpong, Lembang, Bandung, Jawa Barat, Indonesia, 40558",-6.8122843,107.596327,Taman Hutan Raya Juanda,Notes from the Mountains,Dewanggi p.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1,1,"Jl Diponegoro No 27, Citarum, Bandung Wetan, Cibeunying, Bandung, Jawa Barat, Indonesia, 40114",-6.9006712,107.6174754,Taman Hutan Raya Juanda,ibis Styles Bandung Grand Central,Fanni,0 - 1000
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kampung Cimanggu RT/RW 01 Desa Patengan, ranca bali Bandung , Ciwidey, Bandung, Jawa Barat, Indonesia, -",-7.1444662,107.3915287,Taman Hutan Raya Juanda,ALI2 Pondok Orange 1,Nopta K. Y.,0 - 1000
8.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Kolonel Masturi km 9, Parompong Cisarua ( Komplek Rotensia Villa Istana Bunga), Parongpong, Bandung, Jawa Barat, Indonesia, 40558",-6.8293023,107.5542432,Taman Hutan Raya Juanda,Villa Istana Bunga - Rotensia,Siau L.,0 - 1000
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,0,4,4,1,"Jl. Awiligar Raya Dago Pakar II Bandung Jawa Barat 40191, Dago, Bandung, Jawa Barat, Indonesia, 40190",-6.8746722,107.64137,Taman Hutan Raya Juanda,Clove Garden Hotel & Residence,Yovan H.,0 - 1000
6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,1,0,1,1,0,1,1,1,"Jl.Bahureksa no 3 Bandung , Riau Street, Bandung, Jawa Barat, Indonesia, 40114",-6.9049747,107.6139818,Kawah Putih,Ivory Hotel Bandung,Rina A.,0 - 1000
6.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,2,0,0,2,0,3,3,1,"Jl. Ir. H. Juanda 46, Dago, Bandung, Jawa Barat, Indonesia, 40114",-6.9013512,107.6125679,Kawah Putih,Four Points by Sheraton Bandung,Dicky S.,0 - 1000
9.7,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,3,0,2,0,0,2,0,1,2,0,2,2,1,"Jalan R.E. Martadinata 68, Riau Street, Bandung, Jawa Barat, Indonesia",-6.9063306,107.6205148,Taman Hutan Raya Juanda,De Paviljoen Bandung,Uli M.,0 - 1000
9.7,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,4,1,1,1,0,2,0,0,2,1,3,2,0,"Jl. Kolonel Masturi Km. 9 Parongpong Cisarua Lembang, Parongpong, Bandung, Jawa Barat, Indonesia, 40558",-6.8028641,107.5829828,Taman Hutan Raya Juanda,Maple House Hotel Lembang @ Villa Istana Bunga,Bazli,0 - 1000
10,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Jalan Jayagiri No. 50 Lembang, Lembang, Bandung, Jawa Barat, Indonesia",-6.8077444,107.6194281,Taman Hutan Raya Juanda,Lingga Guest House Jayagiri Lembang,Laitupa F.,0 - 1000
9.1,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,4,1,0,0,0,0,1,0,0,1,1,0,0,"Jalan Sariater No. 29, Lembang, Ciater, Bandung, Indonesia, 41280",-6.7346335,107.652374,Taman Hutan Raya Juanda,Villa Marindu And Glamping,William W.,0 - 1000
8.5,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,4,0,2,1,0,2,0,0,2,1,3,2,0,"Jalan Kolonel Masturi KM 4, Lembang , Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8293023,107.5542432,Taman Hutan Raya Juanda,Lembang Asri Resort,Rizki S. N.,0 - 1000
9.7,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Jalan Bukit Cemara Hijau No. 19 Resort Dago Pakar, Dago, Bandung, Jawa Barat, Indonesia, 40134",-6.8616636,107.6503191,Taman Hutan Raya Juanda,1 BR City View Villa with a private pool 1,muili,0 - 1000
8.8,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Jalan Cimanuk No. 15, Riau Street, Bandung, Jawa Barat, Indonesia, 40115",-6.9031712,107.6212606,Taman Hutan Raya Juanda,Hotel Vio Cimanuk,Julian P.,0 - 1000
9.1,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,"Jalan Ciater Blok Dawuan, Ciater Subang, Lembang, Ciater, Bandung, Indonesia, 41280",-6.7296432,107.6540144,Taman Hutan Raya Juanda,Gracia Spa,Saviya T.,0 - 1000
9.4,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Jl. Merdeka No.25-29, Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",-6.9092345,107.6103071,Taman Hutan Raya Juanda,La Grande Apartment By Handoko,trianne a.,0 - 1000
8.5,0,0,0,0,0,0,0,1,9.1,1,0,0,0,0,5,0,0,0,0,2,0,0,2,0,5,5,0,"Jl.Bahureksa no 3 Bandung , Riau Street, Bandung, Jawa Barat, Indonesia, 40105",-6.9049747,107.6139818,Taman Hutan Raya Juanda,Ivory Hotel Bandung,Haydar M.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,"Jl. Ir. H. Juanda No.92, Desa Ciburial, Kec. Cimenyan, Dago Atas, Bandung, Jawa Barat, Indonesia, 40135",-6.8648568,107.626441,Kawah Putih,Creative Restart Hotel (CARTEL) by Damn I Love Indonesia,Adrian H.,0 - 1000
9.7,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Parkir Barat Wisata Sari Ater, Ciater, Jawa Barat, Lembang, Ciater, Bandung, Indonesia, 41279",-6.7398681,107.6532326,Taman Hutan Raya Juanda,DGYP 5 Ciater,Jamilah J.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,1,2,0,2,2,1,"Jl. Sari Alam,41281,Subang,West Java, Lembang, Ciater, Bandung, Indonesia, 41280",-6.7392093,107.6589944,Taman Hutan Raya Juanda,OYO 2141 Pondok Pulo Sari 0,Beatrix J.,0 - 1000
8,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,2,0,0,1,0,2,2,1,"Kampung Ciater RT.01 RW 01 Desa Ciater,Kec.Ciater Kab.Subang - Jawa Barat, Lembang, Ciater, Bandung, Indonesia, 41217",-6.7471523,107.6392892,Kawah Putih,Miracle D'GYP Signature,Dian A.,0 - 1000
10,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,2,0,0,2,0,4,4,1,"Jalan Hortikultura No.01 RT 01 RW 05 Desa Jayagiri Kecamatan Lembang, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8100346,107.6171406,Kawah Putih,Samakta Guest House,Ziah U.,0 - 1000
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,1,1,1,0,1,1,2,1,1,"Jalan Rancabentang No 2 Ciumbuleuit - Cidadap, Ciumbuleuit, Bandung, Jawa Barat, Indonesia, 40141",-6.8710311,107.6091051,Kawah Putih,Concordia Hotel Bandung,Fajar N.,0 - 1000
9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Tangkuban Perahu No.156, Cibogo,Lembang, Lembang, Bandung, Jawa Barat, Indonesia",-6.8091341,107.6463993,Kawah Putih,Villa Rasberry Garden,Sapta s.,0 - 1000
10,0,0,0,0,0,0,0,1,8.1,0,0,1,0,4,3,0,3,0,0,3,0,2,3,1,4,3,1,"Jalan Awiligar Raya II No 2, Dago, Bandung, Jawa Barat, Indonesia, 40190",-6.873176,107.642035,Kawah Putih,TechieRoom Kotlin at Clove Garden Residence,Iwan,0 - 1000
9.7,0,0,0,0,0,0,0,1,6.8,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,"Jalan Bukit Cemara Hijau No. 19 Resort Dago Pakar, Dago, Bandung, Jawa Barat, Indonesia, 40134",-6.8616636,107.6503191,Kawah Putih,5 BR City View Villa with a private pool 1,Rian A.,0 - 1000
8.3,0,0,0,0,0,0,0,1,6.8,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,"Jl. Merdeka No.25-29, Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",-6.9092345,107.6103071,Kawah Putih,La Grande Apartment By Handoko,Maya S.,0 - 1000
4.8,0,0,0,0,0,0,0,1,8.1,0,0,1,0,4,4,0,0,0,0,0,1,0,0,1,0,-1,1,"Jalan Sentra Dago Pakar, Dago, Dago Atas, Bandung, Jawa Barat, Indonesia, 40198",-6.869581,107.632386,Kawah Putih,Marbella Hotel Dago Bandung,Warsito S.,0 - 1000
8.7,0,0,0,0,0,0,0,1,8.1,0,0,1,0,4,4,0,1,0,0,1,0,0,1,0,1,1,1,"Jalan Sentra Dago Pakar, Dago, Dago Atas, Bandung, Jawa Barat, Indonesia, 40198",-6.869581,107.632386,Kawah Putih,Marbella Hotel Dago Bandung,NICHOLAS H.,0 - 1000
9.4,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,1,1,1,"Jalan Raya Lembang Asri No.110 Lembang, Lembang, Bandung, Jawa Barat, Indonesia, 40263",-6.7947958,107.5996385,Taman Hutan Raya Juanda,Omah Angkul Angkul Pool Villa,Realita S. P.,0 - 1000
8.5,0,0,0,0,0,0,0,1,9,0,0,1,0,5,4,1,2,0,0,6,0,0,6,1,12,11,1,"JL. Ir. H. Djuanda, No. 395, Dago Atas, Bandung, Jawa Barat, Indonesia, 40134",-6.8692365,107.6201911,Kawah Putih,Wirton Hotel,M Ihsan A.,0 - 1000
5.7,0,0,0,0,0,0,0,1,7.5,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,1,1,0,"Jalan Taman Cibeunying Selatan No.7, Bandung Wetan, Riau Street, Bandung, Jawa Barat, Indonesia, 40104",-6.9081216,107.6261752,Kawah Putih,Tibera Taman Cibeunying,Agung R. S.,0 - 1000
9.7,0,0,0,0,0,0,0,1,7.5,0,1,0,0,5,4,0,1,0,0,1,0,1,1,0,2,2,0,"Jl. Raya Ciwidey - Patengan No.6, Alamendah, Kec. Rancabali, Bandung, Jawa Barat, Kabupaten Bandung, 40973, Ciwidey, Bandung, Jawa Barat, Indonesia, 40972",-7.1310641,107.4192968,Kawah Putih,OYO 2369 Cempaka Residence Ciwidey,Rian T.,0 - 1000
8.5,0,0,0,0,0,0,0,1,7.5,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,1,1,0,"Jln. Tangkuban Perahu no. 48, Cibogo, Lembang, Bandung, Jawa Barat, Indonesia, 40390",-6.8109279,107.6249374,Taman Hutan Raya Juanda,Narima Resort Bandung,Okber H. S. S.,0 - 1000
6,0,0,0,0,0,0,0,1,7.5,0,1,0,0,5,4,0,0,0,0,2,0,0,1,0,2,2,0,"Jalan Mawar II no. 42 A, Komplex Dago Pakar Resort - Cluster Graha Kesuma, Dago Atas, Dago, Bandung, Jawa Barat, Indonesia, 40134",-6.8675325,107.6352826,Taman Hutan Raya Juanda,Villa Dago Syariah - 3 Bedroom,Lina,0 - 1000
9.7,0,0,0,0,0,0,0,1,9,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"Jalan W.R. Supratman No. 98, Cibeunying, Bandung, Jawa Barat, Indonesia, 40122",-6.9019507,107.6273712,Kawah Putih,Mitra Hotel Bandung,Cynthia Y.,0 - 1000
6.5,0,0,0,0,0,0,0,1,7.5,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,"Ranca Upas Camping Ground, Patengan, Bandung, West Java, Indonesia, Ciwidey, Bandung, Jawa Barat, Indonesia, 40973",-7.1411016,107.3956986,Kawah Putih,Bobocabin Ranca Upas,Mellisa,0 - 1000
9.7,0,0,0,0,0,0,0,1,7.5,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"Jalan Soreang - Ciwidey, Km. 25, Ciwidey, Pasirjambu, Bandung, Jawa Barat, Indonesia, 40971",-7.0334665,107.5032943,Kawah Putih,DRIAM RIVERSIDE,Guest-3vgwls,0 - 1000
